title,published_date,source,url,date_only
"aliansi muda aceh singkil, desak dpr gunakan hak angket - rri.co.id",2026-03-08 14:41:15,RRI.co.id,https://news.google.com/rss/articles/CBMiqAFBVV95cUxOYUZTRHgwTDdGTEppbERpemNSZEtyYUg0T0ZTM01jY3FaTWRNWVlzUVRoVHpBenQ3dDRTWHdvREdjLXBKSVU4T1FSSGRDR0o0aVh1N1A5WVp0eko0QUVoZHdPZGhJLVYzVFFkYjFCQS0tMkhMMXJPblJ2TnVVR2JEVUlFSzNFRWFBQU10SWJpTlAyZGlId0hkRUQxQUg0ckxwd1MzLVh2TWM?oc=5&hl=en-ID&gl=ID&ceid=ID:en,2026-03-08
ampas dorong dprk aceh singkil gunakan hak angket ke bupati - serambinews.com,2026-03-09 06:28:31,Serambinews.com,https://news.google.com/rss/articles/CBMipwFBVV95cUxPTnQ2U1haSnNoSVhkQ0JLYjZBU2tMbzVkcGg1ZVd6ejNMSlJ0cmxKNEF6MkVCem9SbjE2bUNmNTM4Y0dHMk5IRHNGNnN0TlVfSWdvOGMxM2hZcWJ3aml2d1U0UmZjZlNNZXE0UEl3cnV6ZmtQNnRJYXgtcGNOb1dTY1BBZEF6VnZuc2I2UXV5Y1pKZExLYlRTLVJnS2RJT1JRSVB0SVNKOA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,2026-03-09
"(catatan berita) : tinjau pasar murah mamuju, gubernur sulbar turunkan harga beras dan telur hingga 30 persen - bpk perwakilan provinsi sulawesi barat",2026-03-10 14:54:18,BPK Perwakilan Provinsi SULAWESI BARAT,https://news.google.com/rss/articles/CBMiygFBVV95cUxQVmxSWGJweDhzY3B0cHFDN2hLend3RVphQmhPT0plWWlScHJ2RWg0MkFNU3dPSm40OHhYNXU4R3lQa0tnNlZkX3NtVGhWZlNLUkx5TWtZWDRXTHFaYzUzUXlYS0J2b2pSenlWSV9HUUJmMHI0LWNIRk93aTByd3BCc0l6bENrcHdUMjR3WFNyM1U2SGVrWjhOYlZxLXlhMmJhR1paUlhqSE5TVWpGMGdhTXI0Z1RGWnBnRTRWaDBocmtMMEtDZHliZkl3?oc=5&hl=en-ID&gl=ID&ceid=ID:en,2026-03-10
2 terdakwa kekerasan terhadap jurnalis pati dituntut 4 bulan penjara - detikcom,2026-03-11 09:17:41,detikcom,https://news.google.com/rss/articles/CBMixAFBVV95cUxQWldPX0lTUXZXeEdiZUFkdUtSNlVIU2lLT3ZkYVNVcGE4SlFpV2tRNGJHYUtLM1FaYUIyUWdES0o1Skk0bHo0REtsRGdnWkZ0a2tONzB1SWhCOEJUU0lNTkFmXy1PYmlTdmthSnRXSmx5RlRTb3hwekg4UllNVkJGRmZxTmx4enFqTFRITlVlaUlGX2pGWmFFbDNfSUdTOE5FR1BWTWRmNGFOWWdtUDhYRWc0X2pMc1lUcEZhM215SHVlY0hL0gHKAUFVX3lxTFBFRVdfN3dQbVQ0eE1NdnVGWUtFaTJVZkJUMGJfN0JMWE9YR1JWLXdBNGs5Ti1IV2k3amFXcHd4NkpvcXZNajJmTjJpVE1YQWs1Q3VnbzFPVFR0Ty1RTVMxSEVKdEZScnFfT3BDTXBMd0VTT2pIQWtfTzZJMFVZTlUyY2F4QXhYNGMwckxCR053cFQ0bGtHbTV4X0ZVallhcWNXdnhVVFVlTFg4b0RDWS1rMzI3OE5KUkNkT1dWSldzSFRDQllYRlB1U0E?oc=5&hl=en-ID&gl=ID&ceid=ID:en,2026-03-11
"bantu stabilkan harga beras, polsek batang tarang gelar penjualan sphp untuk warga - humas polri",2026-03-13 05:50:00,Humas Polri,https://news.google.com/rss/articles/CBMixgFBVV95cUxONENnTGVRTWJqS3dQdTR1ZVRHTTNlMlhSV1lEdTNQbFl2RHI0TWtLbnhlWFViazZwNzRwZWNDQ0lJOVlqdXJRVjN0ZFoxWXEwS21GZVNSTEdjcTNRbmJ2RmRZSmJ5VUYtajFXMjlCLUlYZG9pN3ZNalA2d0hZRHM3YUdoYnBsTG9ldWpCSTdZWl9FcFVob0JJTFVYemhoWEF6NUlDN2lacGhraVhNckFETUk4NnYwMWxBZnp1dkVKTlR1ay1TSHc?oc=5&hl=en-ID&gl=ID&ceid=ID:en,2026-03-13
sidang paripurna hak angket dprd pati: fraksi pdip beri keputusan keras! - jawa pos,2026-03-13 07:00:00,Jawa Pos,https://news.google.com/rss/articles/CBMitwFBVV95cUxOVVdBbTBPbC1TX3p5MG0yWXlhdW9ZU01VdXJSUHd1V3ZnaGthVkhQS3FWRDNtRzVPVXNydUg3MzA5QkpXSk1PQThrVnlsSFllMUtZdHRUdnJwbm1DaGZPZ09NaENCX0p3M2QwZVhxaWRpM2VXVF9oSnZQcVh0d0RvLTRUeFBRTURBQnRRRlhTQ0ZvVFY4NUJDM0tURHVya0hfMkFMTVdkZ09tWE16TnlUbi1fMXAwR0HSAbwBQVVfeXFMTmg0bnVGUERQNTJDNXR2X09UYzdJYjcybUtHbkllVG5QbEE0dFh3Ym9HNTVaY3hkQW1pMnBwcWNVZ3JySmJlUmVjZUFzWnhTdktnejV2YzNJT3V6X21mMU0ySm5DQVZBS3g1TjJEWlNjTkpfZFdEeFB4bVhYWGpBd1pDNHU4X2lTSXhpVHBLTkVXN0JUdDdBVEJnYWQ5eU9RbUUtMy10WU9tdlFqVmxpUDFxQ1M1SDJpM2QzWEg?oc=5&hl=en-ID&gl=ID&ceid=ID:en,2026-03-13
"harga beras pada 13 maret: beras om 18 tetap stabil di 6.100 vnd/kg, perdagangan domestik lesu. - vietnam.vn",2026-03-13 07:00:00,Vietnam.vn,https://news.google.com/rss/articles/CBMirAFBVV95cUxPS1BmajI3WnduU1NiZVc1LUEtU0dOME9kQ0FpQk1CZENuSnJPYVdIUnpNR3JZUW8tVUpOeWZnODhjZHR3bjE3VmQyS3N0TDZ1UmoyXzVEZndRY3ltRU45QlBHLUhJVldPR0pCWjNqVVYxaVlRSUN2d1Q5VFVSYzZTYjRlbDJTbEF6THlZa1h6REdsQTlkWGxvbGZDdmNray0ydVVZUk92TWRJWFVo?oc=5&hl=en-ID&gl=ID&ceid=ID:en,2026-03-13
harga pangan hari ini (13/3) di sumatera selatan: harga beras dan cabai rawit naik - databoks,2026-03-13 10:17:00,Databoks,https://news.google.com/rss/articles/CBMi5AFBVV95cUxQVHU5b0dfa3d5eFgzTmhIbjkzbXNtSE12RURSM25SOHVXRUE0Zml4TjlGb1A4WW55M2xMLWowSWE5akt1TzB0Mk0wVjJtejc5SEI5LWFKd3ZuSUUwS0NvUVBVSDFDbHB2cldvTGVDY0RmZ3pWV182U2hxa1haX2ZwYWFfTEJ3dmUzNzhXZkFiVjByalJDOENxWjFhc2NWNEFsdnE4emk0VjVPT3pwWmZxZjl1b2lsS2ZSZ3EyeHJJaU1hSjluV3ZpdDJYaDhpdVhndTdLdnNNMnc4RGdnb0o0a3VOeFA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,2026-03-13
"sebelum disiram air keras, aktivis kontras andrie yunus ditengarai sudah dikuntit - kompas.id",2026-03-13 12:01:00,Kompas.id,https://news.google.com/rss/articles/CBMirwFBVV95cUxQdGx6cWlfMUpVY3pSaGl3X2ZXM0RaMFFvMlpIQnJ5UmJtQ3ozd3Q5emZYS1p4U1Jwb1MxWVQyRFNCYWxvUUNDa3NCVElIR041eGdmdXZnMkZYQXBKZmVvNTU0anRCMjlNM25oZjRvSUxpZUhEN0ltYlVEeE8tOG9pYnN3TWVKRjYxcDNlWHRtQ3REQ1pyb3FrZG5MdjRLS091ZFdkZVB0Yl9yVUhSUXJR?oc=5&hl=en-ID&gl=ID&ceid=ID:en,2026-03-13
"aktivis kontras disiram air keras, sahroni: aksi teror tak baik bagi demokrasi - detiknews",2026-03-13 21:19:07,detikNews,https://news.google.com/rss/articles/CBMitwFBVV95cUxPOS1FOThGRnZrVGtOOTRjOEU0Y0RaMkdkU1pnWDFydUhaVjZ6Y2dZWV95RkpXRkxVUDBTVThDenBRRGhTMUN2RVBuQTJscEpDMmFkYWg1akFTQk1ZZlIyNWRIaGxxVU9MTjdBLXJ5YmxoNGN3VnQ3bjBudlV1cDZDelFVc0hXZlFZUENPVGYxWTl0M0FfVVJ3T0puLS14R24xM0oxdm4wR210bER0ekI0VExIQWRqdjjSAbwBQVVfeXFMTmFnMzctTDBmbkR6MHF5bG9wWld3T2V1NURveG42Tk4yS2daUFVJeGRSQUc2ZUxJZ2tTYnRmdmFxWEwySmU4eV9uNTlfd0FMTkNrUkFWY1ZZR0t5ZmxwaHFKcmpEZDlQNnJ1M0M3a0g5ckdUN1lUdjNyZzB1MDlHWFdVNnVDQlNSal95STVlaEViRWNjNHFHbl9LNHBzVDdHVlNaQnVFN0lZa3NBR3c2V24yLXZheFBQajhCZUM?oc=5&hl=en-ID&gl=ID&ceid=ID:en,2026-03-13
