title,published_date,source,url
TNI Tahan 4 Prajurit Tersangka Kasus Penyiraman Air Keras Andrie Yunus - Kompas.com,"Wed, 18 Mar 2026 08:24:00 GMT",Kompas.com,https://news.google.com/rss/articles/CBMiwAFBVV95cUxNdmNQcUVYaEVBLXV5YnpEdVpJdnF5aDRWOTQ2N1hJMEpld1FRSWx6Qy1UUWhFT3N4cnJqM09xRUlXTDV2ZGE0QmhFOG81bjZZVThNdkkxOHZ1Uzg0S3UxY0NwbnZCeTQxX3JuSDJWd2FVZHhLRkE1bDBxVzJwLWotSHN4d3pxbXRJQlA0RTJnM0xtN1dWcUNEZHAtTFp1WEhpSm91Vno4V1RpclpKZUtFXzEwc3hXblZJRTVNV0JpRTg?oc=5&hl=en-ID&gl=ID&ceid=ID:en
"Kasus Serangan Andrie Yunus, Ancaman bagi Pembela HAM dan Lingkungan - Mongabay.co.id","Mon, 16 Mar 2026 04:57:15 GMT",Mongabay.co.id,https://news.google.com/rss/articles/CBMipAFBVV95cUxPTjczeWpVQ29RcXFxUTZWc3VpOXN4ajJDeTk5TGVjYXdTcG5oVktVVGtnZlNKcl9lZlBkR0pfcEVNRHpuc3k1a0psUzMtaDdQSDNLSjVSd0twX2ZoWTRMRFZCdmtPQ1pQc0l2UGVsTWtBelhFRWV2RmxfWHlMX3ZFQWxfMENvNnhtWldMYjRfXzE4Y2wyNGcwcTdGOEgxZndpYWxPaw?oc=5&hl=en-ID&gl=ID&ceid=ID:en
Menguak Kejanggalan Kasus Andrie Yunus: Dari Air Keras hingga Dugaan Perencana di Balik Layar - Hukumonline,"Wed, 18 Mar 2026 05:40:59 GMT",Hukumonline,https://news.google.com/rss/articles/CBMi4AFBVV95cUxPeG9Ta09vbjJIYUxzWHdSSzA4aVhSY1VhYnNEZ2V6emVBX19DY3ZnMXhxTTctd0Q0UEtoaVVGT1I5b01XMUIxUkIwSWZZaWQyOFBUWDhYSndDTlNhQy1FWlhSU3V4RjgzVlhUWGFKRFZkazF4dEFJYU5EQkxYSmtZaGl6TDhvVUw0eG5UZlR2andkemFsWWJQZWp1MDdVdURVamRIOG5ZRmdULUxNcnBhUkRHUEVYQmdIUHRLbjN3V1lCMm5Ic3dZeGdHQkZ6OGpZRUgtVmx6bkROcXdzZElxag?oc=5&hl=en-ID&gl=ID&ceid=ID:en
TNI Dalami Dugaan Ada Pemberi Perintah Siram Air Keras ke Andrie Yunus - detikNews,"Wed, 18 Mar 2026 08:04:15 GMT",detikNews,https://news.google.com/rss/articles/CBMirwFBVV95cUxOazJLRnB0N2pRZnUxZUVtdVAwTGpROEJlZ25IRk9iOXVETm9keENLa3d2MThfbC1lcnEwUWNtNVlaOGFFRUViVU9xaVJQMEFyeVZBMWw3dl9QOUtJbHBpY0s4TXM5RVhRU2xXYnVKQ2tJV0JvcEdfZ2hQQ1NRZ0dodzVac2RYaGJ1dDhVb3NwRVE3d1hPSGtPcXBSQW82MjhaeGtVamFTOWJuS1lyNGNn0gG0AUFVX3lxTE9sVkF3dm15dm5xdXFKSERaUGhuU3VuUXBkRHZtXzdRNERKUjN6WVd4UTBZMVdhSDdIbWlqQ1BLQ2liV2RONGRrczhqMWxRUkcxV1J4RGdRVXJ6djVLdldZN25HT2o5MW16Ry1JLXl1aWV5OEJ1NkRYaW1JUDlfNC1hR3NMSm9lTXVTWmhuNWlkXzViTXlfZFdTLS1EWmlXS1JGaUl0X0VYRzZXa0RodS1YUHhrYw?oc=5&hl=en-ID&gl=ID&ceid=ID:en
4 Prajurit TNI Diduga Terlibat Penyiraman Air Keras Aktivis Kontras Andrie Yunus - Kompas.com,"Wed, 18 Mar 2026 07:17:00 GMT",Kompas.com,https://news.google.com/rss/articles/CBMixgFBVV95cUxQQUl2R0tVOVR1dWRUUFFBSDVLLXNxaUxuRENFQ1MtaEFYVnFNR1ZmV3M2T2ZNS0JRSm1rMzdKeUI2am5KRTcyMHk1V1BNQWFkVFdUQ2t5aWtRUC1VSjRfY0NGcmtsZFlFVXF6d1FXR0hac0d2MXJ4MGc3SkxMRXBFeTlxTzFiNENiYm1sRW9iR2VSb3YxcGxHU2FFcUpHMmRXOHg4TjFSd1VOTW9IbWNKVWVTM3lJcnVMVklxN2lCcGd2YVc4QVE?oc=5&hl=en-ID&gl=ID&ceid=ID:en
Urgensi Presiden Prabowo Bentuk Tim Independen Ungkap Teror Andrie Yunus - Kompas.id,"Wed, 18 Mar 2026 03:35:00 GMT",Kompas.id,https://news.google.com/rss/articles/CBMipAFBVV95cUxQZXJ4M0F1WVRzcXpBSmMyNUt3YTM2bmhZUmZHTUxkOWkyZkdxLXBqVDNDeFYxcnUwWEdjVkNmQVgyMTVGUGR6SE9DZXBQMmtlcjZjeXotTlZIdnZwSHVyUUREbmtRb0EtYUFnQ0Z6ZHNWVVdkTndSamhhLUwyNjI4NzJuRHJZYlc5dzV3RmNOX0NpOXpKNkNpbzBTUGpzVUU1R202Uw?oc=5&hl=en-ID&gl=ID&ceid=ID:en
Profil Andrie Yunus Korban Serangan Air Keras - Tempo.co,"Tue, 17 Mar 2026 23:00:00 GMT",Tempo.co,https://news.google.com/rss/articles/CBMihwFBVV95cUxQZnlNQTQ1TFBBa1Q3eUxUR1JtXzg4bXY5TDVNYkVPRVRnejBrNV9LSUN0WjA1bU5vQWJSejBBdmUza0pUQ0hab01sUWx4SE4xQ1RkNWkweUEzbEw2aF9OU1dVcDN2d1N6WnJFOHN5MWRMRmlHTkpkUk05SUVhSkVaOTlZaHRNQTQ?oc=5&hl=en-ID&gl=ID&ceid=ID:en
TNI Tahan 4 Prajurit Terduga Pelaku Penyiraman Air Keras Andrie Yunus - CNN Indonesia,"Wed, 18 Mar 2026 07:43:42 GMT",CNN Indonesia,https://news.google.com/rss/articles/CBMizgFBVV95cUxNUTh3ZzVVRWM4Ny1OcWVOTzgybUZna2NUNEZSeWIyeU5DNWFidE1URWsyTGxDUTFia2xsbW51UEtUbENhZmdsaHNkVEkwTElvRFowNXlvUHAyRGdMZ0dGM3I3Uzc0MnFZUFBCcEpER1N4dmZUN2RVRHBjQmpTaHMxTXJMNmxoMjZHR0d3ZE9tcWdsR0Jid0tTV1FNZ3ZnV3gtQ3N4ZGJKNzNWNVBKTFFIcXN1blpxbTUzdnFPYmxPQ1AteG16T1E5MlFZZS1BZ9IB0wFBVV95cUxObEdwMWZRdnVlRG1McUpYYzEyeVpEcloxM2xmTEJ4R3Z3YXVReno0UG90TW1BYjBxcWl1WWFfbDJuTTdvQUJGV1BqRVNKTzJpZXVMOTdUWUlMRjZlOV8zRGpKYTZxaUJVN2Z5UE55ZEFKUnFoNHBOaGpMLURFQXgtTTRWZUJpRHAzSGRTQWhKTzBnQTFYeDRwcEEyekp4VWhCQUpPVk81cjlvMjhXdnV2LXhKQlpWUlJNOTc2eG15Vkl1YTg4OFlRcFRaU2lyMkxTZ2d3?oc=5&hl=en-ID&gl=ID&ceid=ID:en
TNI Tahan Empat Prajurit Bais Tersangka Pelaku Penyiraman Air Keras Andrie Yunus - Kompas.id,"Wed, 18 Mar 2026 08:49:00 GMT",Kompas.id,https://news.google.com/rss/articles/CBMirwFBVV95cUxOajZ2dlM1cDdsY19TU2xzX3h5c0duNGdWTVNITHgyREhiM3JVVkJhUTBZbGxKazU2S0NhZ3Vwd3d4SURObEphZGlrS1llcUZOMGN1QTdxY0ctVUN2ZTdMY3pjeU1CYVRCMzRnV2lUOW44bndfVkdPRHVuZXc2OGgwQUJvNThzYTU1dlpfcF9CcmkxVUh1SWVRMFljZ2hReXFNX1dXb0Fkb0pfSlRLcDRJ?oc=5&hl=en-ID&gl=ID&ceid=ID:en
Puspom TNI Dalami Motif 4 Tersangka Siram Air Keras ke Andrie Yunus - detikNews,"Wed, 18 Mar 2026 07:22:15 GMT",detikNews,https://news.google.com/rss/articles/CBMiqwFBVV95cUxOZmN6eGFpOGU5T2VXNjc3QmhUc3FUYTRqaWlqUG13d05MZTZBcDA2U3BhVFF3UEVaaUpyWmVydUFEczlUMzZxV3I2ekFOb201TEplT0VPdXI4WG95X2hvQmJETlVOQmxXVkZ4SGZZSmc2QTNJWERNSkxyNUdTVHdDNS1Ja2VkaUoxcGpWLWFkS2R2ODJCVUZuMWRPN3ZWbEJaRG9ZdENRb0xXVFXSAbABQVVfeXFMTWlZUXNIT0VJa05GSHA1Z2h4aFkxdzVJYXdnZ0NxSHZ2bmthVEtpdnUwV0FWZmVFQTEwc1pmQ0V2THlNWWx1NXVBZWdWWE1HMl9RUEVTeFBtNjJYOU1lQWl1SDA2bngyZDUxbTNEbHk1bUhkcTB6Mjh0dVFEWEVWNWJRTnk3b25uRmFVekpIeGhkVzZMQ3Z4dDFaNjJYLTRxMDdaZ3l1RnZYOWRjTElJcGg?oc=5&hl=en-ID&gl=ID&ceid=ID:en
